stm_preyID,Prey_TaxonomicID,State_dvt,State_Digestion,Nb_Individuals,Weight_Tot,Comment,Predator_ID
600,Salpidae,,3,1,0.4455,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,651
601,Salpidae,,2,1,0.5907,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,651
602,Salpidae,,2,1,0.44,Salp 0.44g,652
603,Salpidae,,3,1,0.11,Salp 0.11g,652
604,Salpidae,,2,2,0.4785,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,683
605,Salpidae,,3,1,0.57,Salp = 0.57g,711
606,Salpidae,,3,2,0.8712,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,712
607,Salpidae,,2,1,0.6,Salp=0.6g,730
608,Salpidae,,3,2,1.254,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,746
609,Salpidae,,2,1,0.57,Salp=0.57g,753
610,Salpidae,,2,1,0.4851,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,759
611,Salpidae,,3,1,0.16,(Salp=0.16g),760
612,Salpidae,,3,1,0.5478,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,762
613,Salpidae,,3,2,0.6336,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,768
614,Salpidae,,3,1,0.4983,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,772
615,Salpidae,,3,1,0.9075,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,781
616,Salpidae,,3,1,0.2838,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,790
617,Salpidae,,3,2,1.0263,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,791
618,Salpidae,,3,1,0.9,Salp=0.9g,801
619,Salpidae,,3,1,0.4125,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,802
620,Salpidae,,3,3,0.7425,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,804
621,Salpidae,,3,4,2.8578,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,809
622,Salpidae,,2,1,0.3597,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,811
623,Salpidae,,3,8,4.2042,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,823
624,Salpidae,,3,18,13.0713,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,855
625,Salpidae,,3,1,0.1848,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,864
626,Salpidae,,3,1,0.6864,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,870
627,Salpidae,,2,1,0.4422,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,872
628,Salpidae,,2,3,1.551,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,873
629,Salpidae,,2,2,1.1187,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,876
630,Salpidae,,2,1,0.5841,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,888
631,Salpidae,,2,5,2.1846,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,892
632,Salpidae,,1,1,0.54,with eggs; salp = 0.54g,897
633,Salpidae,,2,1,0.6468,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,916
634,Salpidae,,2,3,1.4784,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,919
635,Salpidae,,3,3,1.3959,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,922
636,Salpidae,,2,5,2.4981,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,925
637,Salpidae,,3,5,2.7918,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,936
638,Salpidae,,2,1,0.4455,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,938
639,Salpidae,,2,5,2.2143,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,939
640,Salpidae,,2,1,0.363,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,940
641,Salpidae,,3,1,0.429,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,943
642,Salpidae,,3,4,2.2803,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,944
643,Salpidae,,3,6,2.9436,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,945
644,Salpidae,,3,1,0.4587,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,947
645,Salpidae,,3,1,0.5445,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,948
646,Salpidae,,2,1,0.3861,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,962
647,Salpidae,,2,1,0.6336,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,963
648,Salpidae,,3,1,0.4257,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,972
649,Salpidae,,2,4,2.5608,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,984
650,Salpidae,,2,7,2.6829,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,986
651,Salpidae,,2,1,0.3465,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,990
652,Salpidae,,3,3,1.8612,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1024
653,Salpidae,,2,3,2.0955,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1025
654,Salpidae,,4,1,0.297,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1090
655,Salpidae,,2,1,0.8316,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1091
656,Salpidae,,3,1,0.4257,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1102
657,Salpidae,,2,4,1.8678,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1322
658,Salpidae,,3,1,0.9801,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1401
659,Salpidae,,2,8,5.0853,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1481
660,Salpidae,,2,1,0.4686,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,1545
661,Salpidae,,2,1,0.825,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,2421
662,Salpidae,,3,7,6.4119,changed fr Phronima + salp; transformed mass acc'd to 1/3 salp : 2/3 Phronima,2547
665,Unidentified Fish,,4,0,0.01,Unidentified fish skin,190
666,Unidentified Crustacea,,4,0,0.16,,194
667,Unidentified Mesopelagic Fish,,4,0,0.21,"Fish scales, likely mesopelagic",194
675,Rubbish (human product),,0,1,0.7,,204
676,Rubbish - Line/Rope,,0,1,1.74,33-Af-049-a,208
677,Rubbish - Line/Rope,,0,1,1.43,42-Af-079-a,210
678,Rubbish - Line/Rope,,0,1,4.57,"blue rope, 20 cm long, saved",211
679,Diplospinus multistriatus,,3,1,6.24,BM ID,211
680,Sternoptyx pseudobscura,,2,3,8.7,SL size range 35-40mm,211
681,Rubbish - Plastic (colored),,0,1,1.06,26-Af-028-a,216
684,Rubbish - Plastic (colored),,0,5,1.94,47-51-Af-033-a-e,231
686,Phrosina semilunata,,2,1,0.32,,241
687,Argonauta argo,,2,1,34.52,By RY,242
688,Bathothauma lyromma,,2,1,4.97,By RY,242
689,Rubbish - Plastic (white/clear),,0,3,1.02,30-31-Af-008b-c,242
690,Platyscelus ovoides,,2,2,1.27,,242
691,Galiteuthis sp. Beak,,4,1,0.6,By RY: 1 LB (LRL- 8.5 mm),243
692,Japetella diaphana,,3,1,0.86,By RY,244
693,Omosudis lowii,,2,1,8.67,,244
