PreyIndividuals_ID,stm_preyID,Length_mm,Length_Code,Weight_g,Comment
278,679,198,TL,6.24,
279,686,13.5,AP,0.32,
280,699,25,AP,0.45,
281,703,27.4,TL,5.65,
282,706,54.1,SL,8.66,
283,736,16.3,TL,0.29,
284,737,14.5,TL,0.2,
285,741,24,SL,0.53,
286,742,22.6,SL,0.26,
287,777,71.5,SL,15.28,
288,794,66.5,SL,10.86,
289,791,140,UF,21.33,
290,801,32,TL,0.4,
291,802,30.7,TL,0.59,
292,804,40,SL,3.62,
293,835,189,SL,31.87,
294,837,56,ML,20.67,
295,845,16.7,TL,0.69,
296,847,25,AP,2.93,
297,870,50,AP,2.63,
298,882,300,UF,86.44,
299,883,95,UF,9.02,
300,883,122,UF,4.62,
301,884,30.7,SL,2.47,
302,904,31.4,TL,0.65,
303,903,185,UF,19.14,
304,776,45,ML,3.82,
305,965,20,ML,3.24,
306,796,35,ML,14.27,
307,692,28,ML,0.86,
308,894,30,ML,5.08,
309,823,25,ML,0.87,
310,698,15,ML,0.11,
311,829,19,ML,1.29,
312,830,18,ML,2.01,
313,708,15,ML,0.48,
314,836,21,ML,3.27,
315,850,25,ML,1.12,
316,872,60,ML,6.02,
317,931,29.9,ML,1.24,
318,932,20,ML,0.34,
324,1169,20.9,TL,0.21,
325,1170,100,TL,1.23,
326,1171,19,TL,0.37,
327,1174,23,TL,0.38,
328,1175,150,TL,5.71,Monofilament line
329,1175,40,TL,0.15,Plastic twine
338,1213,37.1,SL,2.74,
344,1250,31.1,SL,1.21,
438,1662,46.1,SL,4.97,
439,1662,45.5,SL,4.21,
440,1662,55.5,SL,7.46,
441,1662,50.5,SL,4.82,
442,1663,355,UF,62.13,
443,1667,96.1,SL,10.25,
444,1668,63.8,AP,2.45,
445,1671,144.9,TL,51.28,
446,1673,60.2,SL,10.44,
447,1676,17,SL,0.24,
479,1795,350,UF,61.29,
480,1801,539,SL,199.01,
481,1803,25,AP,0.06,
498,1867,149.4,TL,2.33,
500,1884,12,AP,0.4,
501,1885,13,TL,0.19,
502,1897,240,AP,54.54,
503,1898,80,TL,3.27,
504,1903,21.2,TL,0.52,
505,1906,13,TL,0.08,
506,1907,68,AP,3.68,
507,1914,82,SL,2.88,
508,1918,20,UF,0.51,
509,1920,85,AP,9.75,
510,1925,5.8,TL,0.11,
511,1930,38.26,SC,7.49,
512,1008,9,ML,0.3,
513,1017,65,ML,7,
521,1910,35,ML,2.25,
522,1177,25,ML,1.06,by RY
523,746,110.6,AP,10.76,
524,678,200,TL,4.57,
529,2463,23.9,TL,0.73,
530,2465,75,TL,14.12,40mm high
531,2466,62,TL,1.47,35mm wide
532,2468,87,SL,3.44,
533,2469,90,AP,3.33,
534,2471,82,SL,4.26,
535,2473,23,ML,0.41,Prey #7
536,2474,53,AP,0.48,
537,2475,36,AP,0.31,
538,2476,94.7,SL,6.81,
539,2478,104,TL,13.08,55mm wide
540,2480,70,AP,0.3,
