SampleLogID,ACSampleID,SpecimenLogID,TissueType
78,B-Alep-001-a,8312,white muscle
79,B-Alep-003-a,8314,white muscle
80,B-Alep-006-a,8317,white muscle
81,B-Alep-009-a,8319,white muscle
95,B-Alep-024-sC,8835,whole
105,B-Alep-085-a,8395,white muscle
106,B-Alep-089-a,8399,white muscle
107,B-Alep-090-a,8400,white muscle
108,B-Alep-090-b,8400,liver
109,B-Alep-090-d,8400,vertebrae
114,B-Alep-091-a,8401,white muscle
115,B-Alep-091-c,8401,neurocranium
116,B-Alep-091-d,8401,vertebrae
117,B-Alep-092-a,8402,white muscle
118,B-Alep-092-b,8402,liver
119,B-Alep-092-c,8402,neurocranium
120,B-Alep-092-d,8402,vertebrae
122,B-Alep-093-a,8403,white muscle
123,B-Alep-093-b,8403,liver
124,B-Alep-093-c,8403,neurocranium
125,B-Alep-093-d,8403,vertebrae
128,B-Alep-096-sA,8839,whole
367,B-Alep-001,8312,stomach
368,B-Alep-001,8312,white muscle
369,B-Alep-002,8313,stomach
370,B-Alep-002,8313,white muscle
371,B-Alep-003,8314,white muscle
372,B-Alep-004,8315,stomach
373,B-Alep-004,8315,white muscle
374,B-Alep-005,8316,white muscle
375,B-Alep-006,8317,stomach
376,B-Alep-006,8317,white muscle
377,B-Alep-008,8318,stomach
378,B-Alep-008,8318,white muscle
379,B-Alep-009,8319,stomach
380,B-Alep-009,8319,white muscle
381,B-Alep-010,8320,stomach
382,B-Alep-010,8320,white muscle
383,B-Alep-011,8321,stomach
384,B-Alep-011,8321,white muscle
385,B-Alep-012,8322,stomach
386,B-Alep-012,8322,white muscle
387,B-Alep-013,8323,stomach
388,B-Alep-013,8323,white muscle
389,B-Alep-014,8324,stomach
390,B-Alep-014,8324,white muscle
391,B-Alep-015,8325,stomach
392,B-Alep-015,8325,white muscle
393,B-Alep-016,8326,stomach
394,B-Alep-016,8326,white muscle
395,B-Alep-017,8327,stomach
396,B-Alep-017,8327,white muscle
397,B-Alep-018,8328,stomach
398,B-Alep-018,8328,white muscle
399,B-Alep-019,8329,stomach
400,B-Alep-019,8329,white muscle
401,B-Alep-020,8330,stomach
402,B-Alep-020,8330,white muscle
403,B-Alep-021,8331,stomach
404,B-Alep-021,8331,white muscle
405,B-Alep-022,8332,stomach
406,B-Alep-022,8332,white muscle
407,B-Alep-023,8333,stomach
408,B-Alep-023,8333,white muscle
