TaxonomicID,Category,Phylum,Subphylum,Class,Order,Family,Genus,Species
"""Teeth""-like spikes",FISH,,,,,,, 
Abralia heminuchalis,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia heminuchalis
Abralia sp.,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,
Abralia sp. Beak,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,
Abralia steindachneri,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia steindachneri
Abralia steindachneri Beak,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia steindachneri
Abralia trigonura,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia trigonura
Abralia trigonura Beak,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia trigonura
Abraliopsis sp.,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,
Abraliopsis sp. Beak,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,
Abraliopsis sp. P,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis sp. P
Abraliopsis sp. P Beak,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis sp. P
Abraliopsis tui,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis tui
Abraliopsis tui (pacifica),MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis tui
Abraliopsis tui Beak,MOLLUSC,Mollusca,,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis tui
Acanthephyra curtirostris,CRUSTACEA,Arthropoda,Crustacea,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra curtirostris
Acanthephyra sp.,CRUSTACEA,Arthropoda,Crustacea,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,
Acanthocybium solandri,FISH,Chordata,Vertebrata,Actinopterygii,Perciformes,Scombridae,Acanthocybium,Acanthocybium solandri
Acanthuridae,FISH,Chordata,Vertebrata,Actinopterygii,Perciformes,Acanthuridae,, 
Acanthurus sp.,FISH,Chordata,Vertebrata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,
Acropomatidae,FISH,Chordata,Vertebrata,Actinopterygii,Perciformes,Acropomatidae,,
Agonidae,FISH,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Agonidae,,
